Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Workout_Frequency (days/week),Experience_Level,BMI,Calories,Burns Calories (per 30 min),cal_from_macros,pct_HRR,pct_maxHR,lean_mass_kg,expected_burn
34.91,Male,65.27,1.62,188.58,157.65,69.05,1,1080.9,Strength,26.80037718,3.99,2.01,24.87,1806,342.58,2139.59,0.74123651,0.835984728,47.77739382,685.16
23.37,Female,56.41,1.55,179.43,131.75,73.18,1.37,1809.91,HIIT,27.65502095,4,2.01,23.48,1577,357.16,1711.65,0.551247059,0.734269632,40.80980268,978.6184
33.2,Female,58.98,1.67,175.04,123.95,54.96,0.91,802.26,Cardio,24.32082112,2.99,1.02,21.15,1608,359.63,1965.92,0.574533644,0.708123857,44.6355797,654.5266
38.69,Female,93.78,1.7,191.21,155.1,50.07,1.1,1450.79,HIIT,32.81357179,3.99,1.99,32.45,2657,351.65,1627.28,0.74415474,0.811150044,63.00743238,773.63
45.09,Male,52.42,1.88,193.58,152.88,70.84,1.08,1166.4,Strength,17.3073186,4,2,14.83,1470,329.36,2659.23,0.668404758,0.789751007,43.34750359,711.4176
53.19,Female,105.05,1.84,176.52,130.6,61.84,0.69,453.33,Yoga,32.04906404,3.02,1,31.03,2767,374.56,1369.66,0.599581444,0.739859506,71.38245823,516.8928
23.17,Male,58.41,1.78,184.75,140.9,58.01,1.67,1953.9,Strength,20.54629201,4.96,3,18.44,1867,328.94,2245.45,0.654016096,0.762652233,46.40891084,1098.6596
55.92,Female,84.07,1.63,183.87,141.12,51.79,1.01,727.81,Yoga,32.08817621,3.97,2.01,31.64,2191,363.56,2105.25,0.676332526,0.767498776,57.09347026,734.3912
24.11,Female,88.58,1.79,176.78,154.07,65.19,1.76,2062.37,Strength,27.36724577,4.01,3.02,27.65,2587,349.51,1383.27,0.79648714,0.871535242,64.3380937,1230.2752
39.19,Female,50.32,1.6,166.88,128.04,49.91,1.17,1157.25,Strength,21.90937915,2,1,19.66,1247,326.31,1527.67,0.667949047,0.76725791,39.29520041,763.5654
